1675620181,74.96 F
1675623781,74.06 F
1675627381,73.50 F
1675630981,74.75 F
1675681561,NA F
1675736281,NA F
1675746736,NA F
1675754701,NA F
1675758601,NA F
1675767061,F
1675770661,NA F
1675774261,NA F
1675791181,NA F
1675794781,NA F
1675798381,NA F
1675826941,F
1675839781,F
1675851961,F
1675874581,F
1675895642,NA F
1675906981,F
1675941721,F
1675968302,NA F
1675974241,NA F
1675984741,NA F
1676023021,F
1676043061,F
1676052421,F
1676076241,F
1676083801,NA F
1676108041,NA F
1676112361,NA F
1676139301,F
1676163369,76.10 F
1676174641,NA F
1676216435,75.86 F
1676225341,NA F
1676246881,NA F
1676260382,NA F
1676318881,NA F
1676386501,NA F
1676390101,74.17 F
1676395861,F
1676404381,NA F
1676409422,NA F
1676413381,NA F
1676430781,F
1676452801,NA F
1676464322,F
1676469541,NA F
1676473141,NA F
1676476741,NA F
1676480341,NA F
1676484541,NA F
1676488561,NA F
1676492161,NA F
1676495762,NA F
1676499362,NA F
1676503081,NA F
1676508842,NA F
1676559541,NA F
1676571721,NA F
1676599082,NA F
1676609761,NA F
1676631301,NA F
1676644621,F
1676653201,F
1676671442,F
1676694361,F
1676731921,F
1676765881,F
1676782921,F
1676787361,NA F
1676828942,F
1676843161,NA F
1676857741,F
1676927101,NA F
1676971381,F
1676988241,NA F
1676991841,NA F
1677035101,NA F
1677038701,NA F
1677042301,NA F
1677045901,NA F
1677049501,NA F
1677053101,NA F
1677056701,NA F
1677060301,NA F
1677063901,NA F
1677068641,NA F
1677077461,NA F
1677099901,NA
1677116161,NA
1677128222,NA
1677131881,NA
1677159601,NA
1677180061,NA
1677222901,NA
1677259381,NA
1677301561,NA
1677378781,NA
1677408001,NA
1677453541,NA
1677510541,NA
1677634921,NA
1677640441,NA
1677842521,NA
1677880921,NA
1677968161,NA
1678104601,NA
1678154489,NA
1678249982,NA
1678594801,NA
1678685641,NA
1678725541,74.62 F
1678754401,74.40 F
1678758001,71.70 F
1678761602,72.71 F
1678765262,74.06 F
1678768921,74.85 F
1678814581,NA
1679065465,NA
1679099101,NA
1679119321,NA
1679187745,NA
1679260561,NA
1679267462,74.96 F
1679271121,74.96 F
1679274841,74.96 F
1679278441,74.96 F
1679282221,74.96 F
1679285881,74.96 F
1679289781,74.96 F
1679293621,74.96 F
1679298661,74.96 F
1679303641,74.96 F
1679307241,74.96 F
1679312461,74.96 F
1679316181,74.96 F
1679320081,74.96 F
1679333641,74.96 F
1679337242,74.96 F
1679340961,74.96 F
1679344741,74.96 F
1679348401,74.96 F
1679352241,74.96 F
1679504521,NA
1679575081,NA
1679620441,NA
1679699581,NA
1679705761,NA
1679790841,NA
1679865721,NA
1679896441,NA
1679932081,NA
1680052261,NA
1680095101,74.96 F
1680488461,NA
1680521941,NA
1680791521,NA
1680861601,NA
1680884821,NA
1680896341,NA
1681229941,NA
1681442521,NA
1681446121,NA
1681449722,NA
1681453382,NA
1681457041,NA
1681460641,NA
1681464241,NA
1681467841,NA
1681471442,NA
1681475101,NA
1681532341,NA
1681568401,NA
1681597861,NA
1681867201,74.96 F
1681870801,72.60 F
1681874402,73.95 F
1682500921,NA
1682522461,NA
